Nama,ID,Teori Bilangan,Aljabar Linear ,Aplikasi Aljabar Linear ,Pengantar Desain Eksperimen ,Perangkat Lunak Matematika ,Praktikum Perangkat Lunak Matematika ,Matematika Ekonomi dan Bisnis ,Persamaan Beda Hingga ,Matematika Keuangan 1 ,Teori Grup Fuzzy ,Teori Grup Hingga ,Pengantar Teori Graf ,Kombinatorika ,Sistem Basis Data ,Praktikum Sistem Basis Data ,Pengantar Biologi ,Pengantar Fisika ,Pengantar Kimia ,Pengantar Fungsi Univalen ,Matriks Atas Ring ,Pengantar Teori Modul ,Fungsi Khusus ,Pengantar Sistem Dinamik Kontinu ,Matematika Keuangan 2 ,Pengantar Metode Peramalan ,Pengantar Regresi Linear ,Matematika Asuransi 1 ,Riset Operasi 2 ,Teori Permainan ,Pengantar Data Mining ,Pengantar Komputasi Cerdas ,Praktikum Pengantar Komputasi Cerdas ,Pengantar Analisis Fungsional ,Teori Ukuran ,Pengantar Geometri Diferensial ,Teori Pengkodean ,Kalkulus Variasi ,Pengantar Pemodelan Gelombang ,Pengantar Diferensial Numerik ,Praktikum Pengantar Pengantar Diferensial Numerik ,Pengantar Dinamika Populasi ,Pengantar Sistem Dinamik Diskret ,Pengantar Pemodelan Stokastik ,Pengantar Analisis Reliabilitas ,Optimasi Numerik ,Praktikum Optimasi Numerik ,Matematika Asuransi 2 ,Pengantar Pengolahan Citra Digital ,Praktikum Pengantar Pengolahan Citra Digital ,Pengantar Topologi ,Pengantar Geometri Fraktal ,Pengantar Fungsi Kontrol Optimal ,Pengantar Metode Elemen Hingga ,Praktikum Pengantar Metode Elemen Hingga ,Pengantar Optimasi Heuristik ,Model Risiko Asuransi ,Waktu,Waktu dalam jam
Responden1,A1,0,0,5,0,5,5,4,5,4,0,0,5,0,0,0,0,0,0,0,0,4,0,4,4,0,0,5,0,0,0,4,4,0,0,0,0,0,0,0,4,0,4,0,0,5,4,5,5,5,0,0,0,0,0,0,0,59 menit,1
Responden2,A2,5,0,5,3,0,0,4,4,3,4,4,5,0,0,0,0,0,0,0,0,0,4,0,3,5,3,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,4,0,0,0,0,0,0,0,0,3,1-2 meniit,0.0333333
Responden3,A3,3,0,4,0,5,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,5,5,0,0,0,0,0,2,0,0,0,0,0,0,3,3,0,5,5,0,0,0,0,0,0,0,5 menit,0.0833333
Responden4,A4,0,0,4,4,5,5,5,0,4,4,4,0,0,0,0,4,4,0,0,0,0,4,4,0,4,4,0,0,0,0,4,4,0,0,4,0,0,0,0,0,0,4,4,4,0,4,0,0,0,0,4,4,4,5,0,0,5 menit,0.0833333
Responden5,A5,3,0,0,0,0,0,3,0,0,3,4,5,4,4,4,0,0,0,4,4,3,4,4,5,4,4,4,0,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,0,0,0,4,0,0,0,0,4,59 menit,24
Responden6,A6,3,0,0,0,0,0,4,4,0,3,5,4,5,3,3,0,0,4,5,5,4,5,5,4,5,3,3,0,3,3,3,3,3,5,3,4,5,5,4,4,5,3,5,5,5,5,3,4,4,4,4,4,4,5,0,5,5 hari,120
Responden7,A7,4,0,0,0,0,0,3,3,4,0,0,5,3,4,2,0,0,5,4,3,5,0,4,5,4,4,5,0,4,4,4,4,4,4,4,5,4,4,5,5,4,4,5,4,3,3,5,3,3,3,5,4,5,4,0,5,4menit,0.0666667
Responden8,A8,0,0,3,3,0,0,4,1,0,4,0,4,0,3,3,0,0,5,3,5,0,4,3,3,5,5,4,3,3,3,0,0,5,4,5,0,5,5,4,4,5,5,4,5,4,4,4,4,4,4,4,4,4,3,0,4,6 menit,0.1
Responden9,A9,0,0,0,4,0,0,5,2,0,0,4,5,0,2,4,3,5,3,4,0,0,5,4,4,0,0,3,4,3,2,0,0,4,3,4,4,4,5,5,5,4,4,5,4,0,0,3,5,5,5,0,5,5,5,4,5,10 menit,0.166667
Responden10,A10,0,0,4,0,4,4,0,0,3,4,5,0,3,1,2,4,4,0,0,0,4,4,4,4,0,0,4,5,0,1,0,0,3,3,0,0,5,5,4,4,5,5,5,5,0,0,4,4,4,4,0,4,4,4,5,5,1 bulan,720
Responden11,A11,4,0,0,0,5,5,4,3,0,3,4,0,4,0,0,4,5,4,0,3,5,3,0,0,4,4,0,3,0,0,0,0,4,4,0,0,0,5,0,0,0,5,4,4,0,0,0,5,5,5,0,0,0,4,4,4,3 jam,3
Responden12,A12,0,0,0,2,3,3,2,2,4,5,5,3,5,0,0,0,4,5,0,4,5,4,0,0,5,3,0,4,0,0,0,0,4,5,0,0,0,0,0,0,0,5,5,0,4,4,0,0,0,4,0,0,0,0,5,3,3 hari,72
Responden13,A13,0,0,0,3,4,3,3,4,3,0,4,4,4,0,0,0,0,3,4,5,3,4,0,0,4,5,0,4,0,0,3,3,5,5,0,3,0,0,0,0,0,4,4,0,5,5,0,0,0,0,0,0,0,0,0,2,1-2 meniit,0.0333333
Responden14,A14,3,0,3,0,4,3,3,5,0,4,0,4,0,0,0,3,4,0,3,3,4,0,0,4,3,4,4,2,0,0,4,4,4,5,3,4,4,0,0,0,0,4,0,5,4,4,4,0,0,0,4,0,0,0,0,3,5 menit ,0.0833333
Responden15,A15,0,0,4,3,0,0,0,4,0,5,0,5,0,0,0,4,5,0,4,0,4,0,0,5,3,3,5,3,3,0,5,5,5,4,4,5,5,0,0,0,0,4,0,4,3,3,5,0,0,0,4,4,5,0,0,4,3 hari,72
Responden16,A16,3,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,4,3,4,0,4,0,4,0,4,4,3,4,4,0,3,3,5,4,3,4,5,0,0,0,0,5,0,5,2,2,3,4,4,4,4,5,5,5,4,4,5 menit,0.0833333
Responden17,B1,0,3,0,0,5,5,0,5,0,0,0,4,0,4,4,0,0,0,0,0,0,4,5,0,0,0,0,5,4,0,0,0,0,0,3,4,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5 menit,0.0833333
Responden18,B2,0,2,0,3,0,0,4,4,3,0,0,4,0,4,3,0,0,0,0,0,0,2,4,4,4,4,0,4,4,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lebih dari 30 menit,1
Responden19,B3,0,0,3,5,0,0,5,0,5,0,0,2,0,5,5,0,0,0,0,0,0,0,5,0,5,5,3,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,1 jam,1
Responden20,B4,0,4,0,0,4,5,0,0,0,0,0,4,0,4,5,5,0,0,0,0,0,5,5,0,0,0,0,0,0,4,5,5,0,0,0,0,0,0,2,2,5,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,1 bulan,720
Responden21,B5,0,4,0,4,5,5,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,1 hari,24
