,Items Recommended
0,Teori Pengkodean 
1,Sistem Basis Data 
2,Matematika Keuangan 1 
3,Teori Grup Hingga 
4,Aplikasi Aljabar Linear 
5,Pengantar Teori Graf 
6,Praktikum Sistem Basis Data 
7,Aljabar Linear 
8,Pengantar Sistem Dinamik Diskret 
9,Matematika Ekonomi dan Bisnis 
10,Pengantar Pemodelan Gelombang 
11,Pengantar Diferensial Numerik 
12,Kombinatorika 
13,Praktikum Pengantar Pengantar Diferensial Numerik 
14,Kalkulus Variasi 
15,Persamaan Beda Hingga 
16,Pengantar Pemodelan Stokastik 
17,Pengantar Fisika 
18,Teori Bilangan
19,Pengantar Biologi 
20,Riset Operasi 2 
21,Praktikum Optimasi Numerik 
22,Pengantar Data Mining 
23,Optimasi Numerik 
24,Praktikum Pengantar Komputasi Cerdas 
25,Pengantar Komputasi Cerdas 
26,Matematika Asuransi 1 
27,Pengantar Sistem Dinamik Kontinu 
28,Pengantar Dinamika Populasi 
29,Pengantar Pengolahan Citra Digital 
30,Fungsi Khusus 
31,Teori Permainan 
32,Praktikum Pengantar Pengolahan Citra Digital 
33,Pengantar Optimasi Heuristik 
34,Pengantar Geometri Diferensial 
35,Pengantar Analisis Reliabilitas 
36,Matematika Keuangan 2 
37,Matematika Asuransi 2 
38,Pengantar Teori Modul 
39,Pengantar Metode Peramalan 
40,Pengantar Fungsi Kontrol Optimal 
41,Pengantar Regresi Linear 
42,Pengantar Fungsi Univalen 
